,cluster,parent,node,branch.length,label,group,date,date_CI,Region.x,isTip,x,y,branch,angle,NCBI.accession,Sample.collection.date,Host.species,Region.y,Province,Barangay,Municipality,source,corrected_date,decimal_date,outbreak,ACRdates
22,1,27,22,1,RV/R3.PHL/2013/TRa-451,0,2013,NA,Ilocos Region,TRUE,2013.000004,2,2012.500004,27.69230769,LC018568,2013,Canis lupus familiaris,Ilocos Region,Bulacan,NA,Bulacan,rabv-glue,01/01/2013,2013,Other,01-Jan-13
23,1,27,23,0,RV/R3.PHL/2012/TRa-310,0,2012,2011.0|2012.0,Ilocos Region,TRUE,2012.000004,3,2012.000004,41.53846154,LC018489,2012,Canis lupus familiaris,Ilocos Region,Bulacan,NA,Bulacan,rabv-glue,01/01/2012,2012,Other,01-Jan-12
24,1,27,24,7,130,0,2019,NA,Ilocos Region,TRUE,2019.000004,4,2015.500004,55.38461538,LC550021,2019,Canis lupus familiaris,Ilocos Region,Bulacan,NA,Bulacan,rabv-glue,01/01/2019,2019,Other,01-Jan-19
25,1,27,25,7,131,0,2019,NA,Ilocos Region,TRUE,2019.000004,5,2015.500004,69.23076923,LC550020,2019,Canis lupus familiaris,Ilocos Region,Bulacan,NA,Bulacan,rabv-glue,01/01/2019,2019,Other,01-Jan-19
26,1,27,26,7,132,0,2019,NA,Ilocos Region,TRUE,2019.000004,6,2015.500004,83.07692308,LC550019,2019,Canis lupus familiaris,Ilocos Region,Bulacan,NA,Bulacan,rabv-glue,01/01/2019,2019,Other,01-Jan-19
21,1,27,21,6.82192,Z-18-224,0,2018.82,NA,National Capital Region,TRUE,2018.821924,1,2015.410964,13.84615385,NA,28-Oct-18,Canis familiaris,National Capital Region,Metropolitan Manila,Camarin Rd.,Caloocan,this paper,28/10/2018,2018.821918,Other,28-Oct-18
1,1,29,1,0.17058,4B-22-41,1,2022.9,NA,Southwestern Tagalog Region,TRUE,2022.895894,13,2022.810604,180,NA,24-Nov-22,Canis familiaris,Southwestern Tagalog Region,Romblon,Dapawan,Odiongan,this paper,24/11/2022,2022.89589,Romblon_new,24-Nov-22
2,1,29,2,0.21716,4B-22-44,1,2022.94,NA,Southwestern Tagalog Region,TRUE,2022.942474,14,2022.833894,193.8461538,NA,11-Dec-22,Canis familiaris,Southwestern Tagalog Region,Romblon,Dapawan,Odiongan,this paper,11/12/2022,2022.942466,Romblon_new,11-Dec-22
3,1,29,3,0.30757,4B-23-02,1,2023.03,NA,Southwestern Tagalog Region,TRUE,2023.032884,15,2022.879099,207.6923077,NA,13-Jan-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Dapawan,Odiongan,this paper,13/01/2023,2023.032877,Romblon_new,13-Jan-23
4,1,29,4,0.38154,4B-23-13,1,2023.11,NA,Southwestern Tagalog Region,TRUE,2023.106854,16,2022.916084,221.5384615,NA,09-Feb-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Rizal,Odiongan,this paper,09/02/2023,2023.106849,Romblon_new,09-Feb-23
5,1,30,5,0,4B-22-45,1,2022.95,2022.72|2022.95,Southwestern Tagalog Region,TRUE,2022.945214,23,2022.945214,318.4615385,NA,12-Dec-22,Canis familiaris,Southwestern Tagalog Region,Romblon,Concepcion Sur,Santa Maria,this paper,12/12/2022,2022.945205,Romblon_new,12-Dec-22
6,1,30,6,0.10685,4B-23-01,1,2023.05,NA,Southwestern Tagalog Region,TRUE,2023.052064,24,2022.998639,332.3076923,NA,20-Jan-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Concepcion Norte,Santa Maria,this paper,20/01/2023,2023.052055,Romblon_new,20-Jan-23
7,1,29,7,0.40072,4B-23-15,1,2023.13,NA,Southwestern Tagalog Region,TRUE,2023.126034,17,2022.925674,235.3846154,NA,16-Feb-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Poctoy,Odiongan,this paper,16/02/2023,2023.126027,Romblon_new,16-Feb-23
8,1,29,8,0.16237,Z-22-103,1,2022.89,NA,Southwestern Tagalog Region,TRUE,2022.887684,18,2022.806499,249.2307692,NA,21-Nov-22,Canis familiaris,Southwestern Tagalog Region,Romblon,Paroyhog,Santa Maria,this paper,21/11/2022,2022.887671,Romblon_new,21-Nov-22
9,1,29,9,0.17606,4B-22-42,1,2022.9,NA,Southwestern Tagalog Region,TRUE,2022.901374,19,2022.813344,263.0769231,NA,26-Nov-22,Canis familiaris,Southwestern Tagalog Region,Romblon,Bonlao,Alcantara,this paper,26/11/2022,2022.90137,Romblon_new,26-Nov-22
10,1,29,10,0.02264,4B-22-37,1,2022.75,NA,Southwestern Tagalog Region,TRUE,2022.747954,20,2022.736634,276.9230769,NA,01-Oct-22,Canis familiaris,Southwestern Tagalog Region,Romblon,San Isidro,Alcantara,this paper,01/10/2022,2022.747945,Romblon_new,01-Oct-22
11,1,29,11,0.07743,4B-22-39,1,2022.8,NA,Southwestern Tagalog Region,TRUE,2022.802744,21,2022.764029,290.7692308,NA,21-Oct-22,Canis familiaris,Southwestern Tagalog Region,Romblon,San Isidro,Alcantara,this paper,21/10/2022,2022.80274,Romblon_new,21-Oct-22
12,1,31,12,0.25768,4B-23-12,1,2023.12,NA,Southwestern Tagalog Region,TRUE,2023.120554,25,2022.991714,346.1538462,NA,14-Feb-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Concepcion Norte,Santa Maria,this paper,14/02/2023,2023.120548,Romblon_new,14-Feb-23
13,1,31,13,0.2248,4B-23-06,1,2023.09,NA,Southwestern Tagalog Region,TRUE,2023.087674,26,2022.975274,360,NA,02-Feb-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Concepcion Norte,Santa Maria,this paper,02/02/2023,2023.087671,Romblon_new,02-Feb-23
14,1,29,14,0.37606,4B-23-07,1,2023.1,NA,Southwestern Tagalog Region,TRUE,2023.101374,22,2022.913344,304.6153846,NA,07-Feb-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Concepcion Sur,Santa Maria,this paper,07/02/2023,2023.10137,Romblon_new,07-Feb-23
15,1,32,15,0.51407,4B-23-17,1,2023.16,NA,Southwestern Tagalog Region,TRUE,2023.161644,8,2022.904609,110.7692308,NA,01-Mar-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Poctoy,Odiongan,this paper,01/03/2023,2023.161644,Romblon_new,01-Mar-23
16,1,32,16,0.34147,Z-22-119,1,2022.99,NA,Southwestern Tagalog Region,TRUE,2022.989044,9,2022.818309,124.6153846,NA,28-Dec-22,Canis familiaris,NA,Romblon,Tulay,Odiongan,this paper,28/12/2022,2022.989041,Romblon_new,28-Dec-22
17,1,32,17,0.51133,4B-23-16,1,2023.16,NA,Southwestern Tagalog Region,TRUE,2023.158904,10,2022.903239,138.4615385,NA,28-Feb-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Dapawan,Odiongan,this paper,28/02/2023,2023.158904,Romblon_new,27-Feb-23
18,1,32,18,0.51407,4B-23-19,1,2023.16,NA,Southwestern Tagalog Region,TRUE,2023.161644,11,2022.904609,152.3076923,NA,01-Mar-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Mahabang Baybay,San Agustin,this paper,01/03/2023,2023.161644,Romblon_new,01-Mar-23
19,1,32,19,0.40448,4B-23-05,1,2023.05,NA,Southwestern Tagalog Region,TRUE,2023.052054,12,2022.849814,166.1538462,NA,20-Jan-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Sugod,San Agustin,this paper,20/01/2023,2023.052055,Romblon_new,19-Jan-23
20,1,28,20,1.52785,4B-23-11,1,2023.1,NA,Southwestern Tagalog Region,TRUE,2023.101374,7,2022.337449,96.92307692,NA,07-Feb-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Jun Carlo,San Andres,this paper,07/02/2023,2023.10137,Romblon_new,07-Feb-23
27,1,27,27,115.42705,n116116,0,2012,2011.0|2012.0,Ilocos Region,FALSE,2012.000004,4.698412698,2012.000004,65.05494505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Jan-12
28,1,27,28,9.57352,n117,1,2021.57,2020.55|2022.48,Southwestern Tagalog Region,FALSE,2021.573524,11.88888889,2016.786764,164.6153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-Jul-21
29,1,28,29,1.15179,n117117,1,2022.73,2022.53|2022.75,Southwestern Tagalog Region,FALSE,2022.725314,18.66666667,2022.149419,258.4615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-Sep-22
30,1,29,30,0.2199,n118,1,2022.95,2022.72|2022.95,Southwestern Tagalog Region,FALSE,2022.945214,23.5,2022.835264,325.3846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Dec-22
31,1,29,31,0.13756,n118118,1,2022.86,2022.61|2023.09,Southwestern Tagalog Region,FALSE,2022.862874,25.5,2022.794094,353.0769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Nov-22
32,1,28,32,1.07405,n119,1,2022.65,2022.24|2022.99,Southwestern Tagalog Region,FALSE,2022.647574,10,2022.110549,138.4615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-Aug-22
1,3,11,1,1.76551,Z-14-098,0,2014.32,NA,Calabarzon,TRUE,2014.402734,3,2013.519979,120,NA,29-Apr-14,Canis familiaris,Calabarzon,Batangas,Dita,Cuenca,this paper,29/04/2014,2014.323288,Other,
6,3,14,6,0.85943,Z-17-046,0,2017.18,NA,Calabarzon,TRUE,2017.254794,6,2016.825079,240,NA,06-Mar-17,Canis familiaris,Calabarzon,Batangas,Bgy. San Fernando,Sto. Tomas,this paper,06/03/2017,2017.175342,Other,
8,3,17,8,0.30027,Z-12-012,0,2012.04,NA,Calabarzon,TRUE,2012.120434,1,2011.970299,40,NA,16-Jan-12,Canis familiaris,Calabarzon,Batangas,Sulpoc,Tanauan,this paper,16/01/2012,2012.040984,Other,
9,3,17,9,0.25928,Z12-012,0,2012,NA,Calabarzon,TRUE,2012.079444,2,2011.949804,80,MN726867,2012,Canis lupus familiaris,Calabarzon,Batangas,Sulpoc,Tanauan,rabv-glue,01/01/2012,2012,Other,
2,3,12,2,1.37718,Z-16-082,0,2016.39,NA,Calabarzon,TRUE,2016.472884,4,2015.784294,160,MN726868,24-May-16,Canis familiaris,Calabarzon,Laguna,Caingin,Sta. Rosa,this paper,24/05/2016,2016.393443,Other,
7,3,13,7,6.63671,4A-22-203,0,2022.11,NA,Calabarzon,TRUE,2022.191784,5,2018.873429,200,NA,11-Feb-22,Canis familiaris,Calabarzon,Quezon,Guiang-Guiang,Lucena,this paper,11/02/2022,2022.112329,Other,
3,3,16,3,0.34453,Z-22-121,1,2022.96,NA,Southwestern Tagalog Region,TRUE,2023.043834,8,2022.871569,320,NA,19-Dec-22,Canis familiaris,Southwestern Tagalog Region,Romblon,Carmen,San Agustin,this paper,19/12/2022,2022.964384,Romblon_new,
4,3,16,4,0.46234,4B-23-04,1,2023.08,NA,Southwestern Tagalog Region,TRUE,2023.161644,9,2022.930474,360,NA,31-Jan-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Carmen,San Agustin,this paper,31/01/2023,2023.082192,Romblon_new,
5,3,15,5,0.56776,4B-23-03,1,2023.06,NA,Southwestern Tagalog Region,TRUE,2023.136984,7,2022.853104,280,NA,22-Jan-23,Canis familiaris,Southwestern Tagalog Region,Romblon,Sugod,San Agustin,this paper,22/01/2023,2023.057534,Romblon_new,
10,3,10,10,114.52239,n185,0,2011.1,2010.22|2011.9,Calabarzon,FALSE,2011.174714,2.7421875,2011.174714,109.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,3,10,11,1.46251,n185185,0,2012.56,2011.34|2013.54,Calabarzon,FALSE,2012.637224,3.984375,2011.905969,159.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,3,11,12,2.45848,n186,0,2015.02,2013.84|2016.04,Calabarzon,FALSE,2015.095704,4.96875,2013.866464,198.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,3,12,13,0.45937,n186186,0,2015.48,2014.12|2016.78,Calabarzon,FALSE,2015.555074,5.9375,2015.325389,237.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,3,13,14,0.84029,n187,0,2016.32,2015.18|2017.18,Calabarzon,FALSE,2016.395364,6.875,2015.975219,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,3,14,15,6.17386,n187187,1,2022.49,2021.64|2022.96,Southwestern Tagalog Region,FALSE,2022.569224,7.75,2019.482294,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,3,15,16,0.13008,n188,1,2022.62,2022.11|2022.96,Southwestern Tagalog Region,FALSE,2022.699304,8.5,2022.634264,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,3,10,17,0.64545,n188188,0,2011.74,2011.19|2012.0,Calabarzon,FALSE,2011.820164,1.5,2011.497439,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,