"Sample.ID","X","X.1","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak"
"153",NA,NA,"Bicol Region","Albay",2018,"Philippines","SEA4",NA,"17/05/2018","Canis familiaris",NA,"Paulog","Ligao","this paper","5/17/18",2018.372603,"Other"
"04030PHI",NA,NA,NA,NA,2004,"Philippines","SEA4","EU086155","2004","Homo sapiens",NA,NA,"-","rabv-glue","01/01/2004",2004,"Other"
"18-092",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326757","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-094",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326761","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-096",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326764","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-099",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326750","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-101",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326755","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-102",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326752","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-103",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326754","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-106",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326751","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-107",NA,NA,"Davao Region","Compostela Valley",2018,"Philippines","SEA4","OQ326749","2018","Canine","Compostela Valley",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-114",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326756","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-116",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326753","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-118",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326758","2018","Canine","Digos Cogon",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-120",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326762","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-121",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326766","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-130",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326759","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-133",NA,NA,"Davao Region","Davao del Sur ",2018,"Philippines","SEA4","OQ326760","2018","Canine","Tagum",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-135",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326767","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-138",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326748","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-142",NA,NA,"Davao Region","Compostela Valley",2018,"Philippines","SEA4","OQ326784","2018","Canine","Nabunturan",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-144",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326776","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-147",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326772","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-151",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326774","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-153",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326773","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-162",NA,NA,"Davao Region","Davao del Norte",2018,"Philippines","SEA4","OQ326744","2018","Canine","Samal",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-163",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326747","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-164",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326738","2018","Canine","Digos",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-172",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326737","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-174",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326743","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-179",NA,NA,"Davao Region","Cotabato",2018,"Philippines","SEA4","OQ326775","2018","Canine","Cotabato",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-181",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326783","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-183",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326777","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-188",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326746","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-191",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326768","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-194",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326780","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-196",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326779","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-199",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326736","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-209",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326781","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-214",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326745","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-216",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326742","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-221",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326782","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-223",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326778","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-224",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326769","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"18-225",NA,NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326771","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other"
"19-004",NA,NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326740","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other"
"19-011",NA,NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326741","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other"
"19-015",NA,NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326739","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other"
"19-022",NA,NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326770","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other"
"19-045",NA,NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326763","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other"
"19-050",NA,NA,"Davao Region","Davao del Norte",2019,"Philippines","SEA4","OQ326765","2019","Canine","Panabo",NA,NA,"genbank","01/01/2019",2019,"Other"
"4A-22-104",NA,NA,"Calabarzon","Batangas",2022,"Philippines","SEA4",NA,"25/01/2022","Canis familiaris",NA,"Sabang","Lipa","this paper","1/25/22",2022.065753,"Other"
"4A-22-171",NA,NA,"Calabarzon","Cavite",2022,"Philippines","SEA4",NA,"06/02/2022","Canis familiaris",NA,"Buenavista","General Trias","this paper","06/02/2022",2022.416438,"Other"
"4A-22-203",NA,NA,"Calabarzon","Quezon",2023,"Philippines","SEA4",NA,"11/02/2022","Canis familiaris",NA,"Guiang-Guiang","Lucena","this paper","11/02/2022",2022.835616,"Other"
"4A-22-40",NA,NA,"Calabarzon","Batangas",2023,"Philippines","SEA4",NA,"10/01/2022","Canis familiaris",NA,NA,"Batangas","this paper","10/01/2022",2022.747945,"Other"
"4A-22-98",NA,NA,"Calabarzon","Quezon",2022,"Philippines","SEA4",NA,"22/01/2022","Canis familiaris",NA,"Baguio","Tayabas","this paper","1/22/22",2022.057534,"Other"
"4B-21-126",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"26/01/2021","Canis familiaris",NA,"Sapul","Calapan","this paper","1/26/21",2021.068493,"Mindoro"
"4B-21-29",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"09/02/2021","Canis familiaris",NA,"San Narciso","Victoria","this paper","09/02/2021",2021.668493,"Mindoro"
"4B-21-310",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"10/03/2021","Canis familiaris",NA,"Tabinay","Puerto Galera","this paper","10/03/2021",2021.753425,"Mindoro"
"4B-21-35",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"05/03/2021","Canis familiaris",NA,"Tabinay","Puerto Galera","this paper","05/03/2021",2021.334247,"Mindoro"
"4B-21-412",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"12/04/2021","Canis familiaris",NA,"Sto Nino","Puerto Galera","this paper","12/04/2021",2021.923288,"Mindoro"
"4B-21-421",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"14/04/2021","Canis familiaris",NA,"Malapad","Baco","this paper","4/14/21",2021.282192,"Mindoro"
"4B-21-423",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"23/04/2021","Canis familiaris",NA,"Camilmil","Calapan","this paper","4/23/21",2021.306849,"Mindoro"
"4B-21-528",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"28/05/2021","Canis familiaris",NA,"Aninuan","Puerto Galera","this paper","5/28/21",2021.40274,"Mindoro"
"4B-21622",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"16/02/2022","Canis familiaris",NA,"Mangangan","Baco","this paper","2/16/22",2022.126027,"Mindoro"
"4B-22-114",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"14/01/2022","Canis familiaris",NA,"Mayabig","Baco","this paper","1/14/22",2022.035616,"Mindoro"
"4B-22-13",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"22/04/2022","Canis familiaris",NA,"Teresita","Mansalay","this paper","4/22/22",2022.30411,"Mindoro"
"4B-22-15",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"05/01/2022","Canis familiaris",NA,"San Isidro","PuertoÂ Galera","this paper","05/01/2022",2022.328767,"Mindoro"
"4B-22-16",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"28/04/2022","Canis familiaris",NA,"Orcenuma","Bongabong","this paper","4/28/22",2022.320548,"Mindoro"
"4B-22-17",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"08/05/2022","Canis familiaris",NA,"Narra","Gloria","this paper","08/05/2022",2022.591781,"Mindoro"
"4B-22-20",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"19/05/2022","Canis familiaris",NA,"Don Pedro","Mansalay","this paper","5/19/22",2022.378082,"Mindoro"
"4B-22-21",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"31/05/2022","Canis familiaris",NA,"Panggulayan","Pinamalayan","this paper","5/31/22",2022.410959,"Mindoro"
"4B-22-28",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"27/07/2022","Canis familiaris",NA,"Mangangan","Baco","this paper","7/27/22",2022.567123,"Mindoro"
"4B-22-30",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"12/08/2022","Canis familiaris",NA,"Bangkatan","Baco","this paper","12/08/2022",2022.934247,"Mindoro"
"4B-22-31",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"18/08/2022","Canis familiaris",NA,"Bayanan","Pola","this paper","8/18/22",2022.627397,"Mindoro"
"4B-22-35",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2023,"Philippines","SEA4",NA,"25/10/2022","Canis familiaris",NA,"Bagumbayan","Roxas","this paper","10/25/22",2022.813699,"Mindoro"
"4B-22-37",NA,NA,"Southwestern Tagalog Region","Romblon",2022,"Philippines","SEA4",NA,"01/10/2022","Canis familiaris",NA,"San Isidro","Alcantara","this paper","01/10/2022",2022.024658,"Other"
"4B-22-39",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"21/10/2022","Canis familiaris",NA,"San Isidro","Alcantara","this paper","10/21/22",2022.80274,"Other"
"4B-22-40",NA,NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"02/12/2022","Canis familiaris",NA,"Balugo","Mansalay","this paper","02/12/2022",2022.115068,"Mindoro"
"4B-22-41",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"24/11/2022","Canis familiaris",NA,"Dapawan","Odiongan","this paper","11/24/22",2022.89589,"Other"
"4B-22-42",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"26/11/2022","Canis familiaris",NA,"Bonlao","Alcantara","this paper","11/26/22",2022.90137,"Other"
"4B-22-44",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"11/12/2022","Canis familiaris",NA,"Dapawan","Odiongan","this paper","11/12/2022",2022.863014,"Other"
"4B-22-45",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"12/12/2022","Canis familiaris",NA,"Concepcion Sur","Santa Maria","this paper","12/12/2022",2022.945205,"Other"
"4B-23-01",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"20/01/2023","Canis familiaris",NA,"Concepcion Norte","Santa Maria","this paper","1/20/23",2023.052055,"Other"
"4B-23-02",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"13/01/2023","Canis familiaris",NA,"Dapawan","Odiongan","this paper","1/13/23",2023.032877,"Other"
"4B-23-03",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"22/01/2023","Canis familiaris",NA,"Sugod","San Agustin","this paper","1/22/23",2023.057534,"Other"
"4B-23-04",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"31/01/2023","Canis familiaris",NA,"Carmen","San Agustin","this paper","1/31/23",2023.082192,"Other"
"4B-23-05",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"20/01/2023","Canis familiaris",NA,"Sugod","San Agustin","this paper","1/20/23",2023.052055,"Other"
"4B-23-06",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"02/02/2023","Canis familiaris",NA,"Concepcion Norte","Santa Maria","this paper","02/02/2023",2023.087671,"Other"
"4B-23-07",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"07/02/2023","Canis familiaris",NA,"Concepcion Sur","Santa Maria","this paper","07/02/2023",2023.49863,"Other"
"4B-23-11",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"07/02/2023","Canis familiaris",NA,"Jun Carlo","San Andres","this paper","07/02/2023",2023.49863,"Other"
"4B-23-12",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"14/02/2023","Canis familiaris",NA,"Concepcion Norte","Santa Maria","this paper","2/14/23",2023.120548,"Other"
"4B-23-13",NA,NA,"Southwestern Tagalog Region","Romblon",2024,"Philippines","SEA4",NA,"09/02/2023","Canis familiaris",NA,"Rizal","Odiongan","this paper","09/02/2023",2023.668493,"Other"
"4B-23-15",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"16/02/2023","Canis familiaris",NA,"Poctoy","Odiongan","this paper","2/16/23",2023.126027,"Other"
"4B-23-16",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"28/02/2023","Canis familiaris",NA,"Dapawan","Odiongan","this paper","2/28/23",2023.158904,"Other"
"4B-23-17",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"01/03/2023","Canis familiaris",NA,"Poctoy","Odiongan","this paper","01/03/2023",2023.005479,"Other"
"4B-23-19",NA,NA,"Southwestern Tagalog Region","Romblon",2023,"Philippines","SEA4",NA,"01/03/2023","Canis familiaris",NA,"Mahabang Baybay","San Agustin","this paper","01/03/2023",2023.005479,"Other"
"4B-2422",NA,NA,"Southwestern Tagalog Region","Occidental Mindoro",2022,"Philippines","SEA4",NA,"04/02/2022","Canis familiaris",NA,"Concepcion","Calintaan","this paper","04/02/2022",2022.249315,"Mindoro"
